station_id,volcano_code,volcano_name,region_group,lat_band,snow_ice_exposure,energy_system,comm_type,access_difficulty,maintenance_history,age_years,battery_margin_days,winter_operation,time_days,event,failure_mode,synthetic_data,source_dataset,source_url
ANT5,ANT,Antuco,Centro-Sur,37-38S,high,limited,radio,medium,preventive_delayed,5.6,3.8,0,648,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
LDM8,LDM,Laguna del Maule,Centro-Sur,35-37S,very_high,limited,radio,low,preventive_delayed,6.4,1.0,1,518,1,energy_dropout,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
NCH7,NCH,Nevados de Chillán,Centro-Sur,36-37S,high,standard,cellular,medium,preventive_delayed,5.1,5.2,0,701,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
MEL7,MEL,Melimoyu,Patagonia Norte,44-45S,high,robust,radio,medium,preventive_delayed,6.9,7.5,0,630,1,snow_ice_damage,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
ANT4,ANT,Antuco,Centro-Sur,37-38S,very_high,standard,radio,medium,unknown,8.1,1.7,1,15,1,communication_loss,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
PCC5,PCC,Puyehue-Cordón Caulle,Sur Andino,40-41S,very_high,limited,satellite,medium,preventive_delayed,3.9,1.0,1,645,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
ANT2,ANT,Antuco,Centro-Sur,37-38S,medium,robust,cellular,low,preventive_delayed,4.3,9.9,0,713,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
MCH3,MCH,Mocho-Choshuenco,Sur Andino,39-40S,high,standard,cellular,high,preventive_delayed,2.4,7.8,0,501,1,communication_loss,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
HUD1,HUD,Hudson,Patagonia Austral,45-46S,very_high,limited,satellite,medium,preventive_recent,5.8,1.8,1,592,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
NCH3,NCH,Nevados de Chillán,Centro-Sur,36-37S,high,standard,radio,medium,preventive_delayed,2.5,4.6,0,680,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
CAL7,CAL,Calbuco,Sur Andino,41-42S,high,robust,satellite,high,preventive_delayed,3.1,11.0,1,684,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
MEL5,MEL,Melimoyu,Patagonia Norte,44-45S,very_high,standard,satellite,high,preventive_delayed,1.7,3.7,1,302,1,energy_dropout,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
ISL1,ISL,Isluga,Norte Andino,19-21S,medium,robust,satellite,high,preventive_recent,5.7,7.7,1,665,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
LDM4,LDM,Laguna del Maule,Centro-Sur,35-37S,high,robust,cellular,medium,preventive_recent,0.5,7.1,1,612,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
LAS2,LAS,Láscar,Norte Andino,23-24S,medium,standard,satellite,high,preventive_recent,6.8,6.2,0,30,1,sensor_or_controller_fault,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
